,game_id,competition_id_game,season,round,date_game,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,aggregate,competition_type,appearance_id,player_id_Merged,date_appearances,player_name_Merged,competition_id_appearances,yellow_cards,red_cards,goals,assists,minutes_played,game_lineups_id,type_Merged2,number,player_id_lineups,player_name_lineups,team_captain,position_Merged3,game_event_id,date,minute,type_events,player_id,description,Sub/Assist_player_id,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,position_final,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name
0,2222734.0,RU1,2012.0,19. Matchday,2012-12-07,2.0,3.0,11.0,10.0,Miodrag Bozovic,Slavoljub Muslin,Olimp-2,5700.0,Sergey Kuznetsov,FK Rostov,FK Krasnodar,02:03:00,domestic_league,2222734_104203,104203.0,2012-12-07,Eugene Starikov,RU1,0.0,0.0,0.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2224572.0,DK1,2012.0,3. Matchday,2012-07-28,1.0,2.0,12.0,1.0,Jess Thorup,Lars SÃ¶ndergaard,Blue Water Arena,5345.0,Michael Svendsen,Esbjerg fB,SÃ¶nderjyskE,01:02:00,domestic_league,2224572_161244,161244.0,2012-07-28,Conor O'Brien,DK1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2224628.0,DK1,2012.0,22. Matchday,2013-03-08,2.0,0.0,3.0,10.0,Colin Todd,Lars SÃ¶ndergaard,Cepheus Park Randers,3481.0,Jakob Kehlet,Randers Fodbold Club,SÃ¶nderjyskE,02:00:00,domestic_league,2224628_46472,46472.0,2013-03-08,Charlie Davies,DK1,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2224655.0,DK1,2012.0,22. Matchday,2013-03-10,0.0,3.0,6.0,12.0,Peter SÃ¶rensen,Auri Skarbalius,Ceres Park,7967.0,Kenn Hansen,Aarhus Gymnastik Forening,BrÃ¸ndby IdrÃ¦tsforening,00:03:00,domestic_league,2224655_39467,39467.0,2013-03-10,Clarence Goodson,DK1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2224729.0,DK1,2012.0,1. Matchday,2012-07-15,0.0,1.0,9.0,5.0,Auri Skarbalius,Troels Bech,BrÃ¸ndby Stadion,10806.0,Lars Christoffersen,BrÃ¸ndby IdrÃ¦tsforening,Odense Boldklub,00:01:00,domestic_league,2224729_39467,39467.0,2012-07-15,Clarence Goodson,DK1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2224902.0,BE1,2012.0,24. Matchday,2013-01-26,0.0,2.0,4.0,1.0,Peter Maes,John van den Brom,Daknamstadion,7877.0,Peter Vervecken,KSC Lokeren (- 2020),Royal Sporting Club Anderlecht,00:02:00,domestic_league,2224902_39475,39475.0,2013-01-26,Sacha Kljestan,BE1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2225555.0,GB1,2012.0,14. Matchday,2012-11-27,1.0,0.0,17.0,19.0,Paul Lambert,Brian McDermott,Villa Park,28692.0,Lee Probert,Aston Villa Football Club,Reading FC,01:00:00,domestic_league,2225555_39471,39471.0,2012-11-27,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2231594.0,L1,2012.0,29. Matchday,2013-04-12,3.0,1.0,5.0,10.0,Christian Streich,Mirko Slomka,Dreisamstadion,24000.0,Deniz Aytekin,Sport-Club Freiburg,Hannover 96,03:01:00,domestic_league,2231594_1335,1335.0,2013-04-12,Steven Cherundolo,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2231667.0,L1,2012.0,34. Matchday,2013-05-18,1.0,2.0,2.0,16.0,JÃ¼rgen Klopp,Markus Gisdol,SIGNAL IDUNA PARK,80645.0,Dr. Jochen Drees,Borussia Dortmund,TSG 1899 Hoffenheim FuÃŸball-Spielbetriebs GmbH,01:02:00,domestic_league,2231667_31041,31041.0,2013-05-18,Fabian Johnson,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2244111.0,TR1,2012.0,26. Matchday,2013-03-15,3.0,2.0,5.0,13.0,Hikmet Karaman,Tolunay Kafkas,Bursa AtatÃ¼rk Stadyumu,15405.0,Serkan Cinar,Bursaspor,Trabzonspor KulÃ¼bÃ¼,03:02:00,domestic_league,2244111_50987,50987.0,2013-03-15,Maurice Edu,TR1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2251439.0,IT1,2012.0,18. Matchday,2012-12-22,4.0,2.0,6.0,7.0,ZdenÄ›k Zeman,Massimiliano Allegri,Olimpico di Roma,50206.0,Gianluca Rocchi,Associazione Sportiva Roma,Associazione Calcio Milan,04:02:00,domestic_league,2251439_30593,30593.0,2012-12-22,Michael Bradley,IT1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2251510.0,IT1,2012.0,26. Matchday,2013-02-24,2.0,3.0,16.0,8.0,Stefano Colantuono,Aurelio Andreazzoli,Gewiss Stadium,12160.0,Andrea De Marco,Atalanta Bergamasca Calcio S.p.a.,Associazione Sportiva Roma,02:03:00,domestic_league,2251510_30593,30593.0,2013-02-24,Michael Bradley,IT1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2258990.0,GB1,2012.0,23. Matchday,2013-01-21,0.0,0.0,15.0,5.0,Mauricio Pochettino,David Moyes,St Mary's Stadium,28359.0,Neil Swarbrick,Southampton FC,Everton Football Club,00:00:00,domestic_league,2258990_4267,4267.0,2013-01-21,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2259003.0,GB1,2012.0,24. Matchday,2013-01-30,2.0,1.0,5.0,9.0,David Moyes,Steve Clarke,Goodison Park,31376.0,Michael Oliver,Everton Football Club,West Bromwich Albion,02:01:00,domestic_league,2259003_4267,4267.0,2013-01-30,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2321027.0,L1,2013.0,1. Matchday,2013-08-11,3.0,3.0,8.0,9.0,Jens Keller,Thorsten Fink,Veltins-Arena,61973.0,Manuel GrÃ¤fe,FC Schalke 04,Hamburger SV,03:03:00,domestic_league,2321027_1321,1321.0,2013-08-11,Jermaine Jones,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2321079.0,L1,2013.0,5. Matchday,2013-09-15,1.0,1.0,18.0,16.0,Torsten Lieberknecht,Michael Wiesinger,EINTRACHT-Stadion,22570.0,Marco Fritz,Eintracht Braunschweig,1.FC Nuremberg,01:01:00,domestic_league,2321079_49723,49723.0,2013-09-15,Timothy Chandler,L1,0.0,0.0,0.0,1.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2321152.0,L1,2013.0,11. Matchday,2013-11-02,0.0,2.0,7.0,6.0,Jos Luhukay,Jens Keller,Olympiastadion Berlin,69277.0,GÃ¼nter Perl,Hertha BSC,FC Schalke 04,00:02:00,domestic_league,2321152_1321,1321.0,2013-11-02,Jermaine Jones,L1,0.0,0.0,0.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2321330.0,L1,2013.0,31. Matchday,2014-04-19,0.0,0.0,8.0,10.0,Markus Weinzierl,Jos Luhukay,WWK ARENA,30059.0,Dr. Jochen Drees,FC Augsburg 1907,Hertha BSC,00:00:00,domestic_league,2321330_124732,124732.0,2014-04-19,John Anthony Brooks,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2332041.0,GB1,2013.0,14. Matchday,2013-12-04,2.0,3.0,8.0,10.0,Mauricio Pochettino,Paul Lambert,St Mary's Stadium,29814.0,Jonathan Moss,Southampton FC,Aston Villa Football Club,02:03:00,domestic_league,2332041_39471,39471.0,2013-12-04,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2332184.0,GB1,2013.0,29. Matchday,2014-03-25,0.0,3.0,8.0,6.0,Alan Pardew,Roberto MartÃ­nez,St James' Park,47622.0,Lee Mason,Newcastle United Football Club,Everton Football Club,00:03:00,domestic_league,2332184_4267,4267.0,2014-03-25,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2332234.0,GB1,2013.0,23. Matchday,2014-01-29,4.0,3.0,10.0,15.0,Paul Lambert,Pepe Mel,Villa Park,36083.0,Mark Clattenburg,Aston Villa Football Club,West Bromwich Albion,04:03:00,domestic_league,2332234_39471,39471.0,2014-01-29,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2332259.0,GB1,2013.0,37. Matchday,2014-05-03,2.0,3.0,5.0,1.0,Roberto MartÃ­nez,Manuel Pellegrini,Goodison Park,39454.0,Lee Probert,Everton Football Club,Manchester City Football Club,02:03:00,domestic_league,2332259_4267,4267.0,2014-05-03,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2332288.0,GB1,2013.0,35. Matchday,2014-04-19,0.0,0.0,15.0,8.0,Paul Lambert,Mauricio Pochettino,Villa Park,35134.0,Lee Mason,Aston Villa Football Club,Southampton FC,00:00:00,domestic_league,2332288_39471,39471.0,2014-04-19,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2342394.0,NL1,2013.0,17. Matchday,2013-12-15,2.0,0.0,11.0,7.0,Jan de Jonge,Dick Advocaat,Erve Asito,8254.0,Serdar GÃ¶zÃ¼bÃ¼yÃ¼k,Heracles Almelo,Alkmaar Zaanstreek,02:00:00,domestic_league,2342394_119169,119169.0,2013-12-15,Aron JÃ³hannsson,NL1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2342472.0,NL1,2013.0,30. Matchday,2014-03-30,0.0,0.0,11.0,7.0,Dwight Lodeweges,Dick Advocaat,Cambuurstadion,9804.0,Ed Janssen,SC Cambuur Leeuwarden,Alkmaar Zaanstreek,00:00:00,domestic_league,2342472_119169,119169.0,2014-03-30,Aron JÃ³hannsson,NL1,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2369976.0,POCP,2013.0,intermediate stage 2nd leg,2013-10-30,4.0,3.0,N/A,N/A,JoÃ£o de Deus,VÃ­tor Oliveira,EstÃ¡dio Cidade de Barcelos,844.0,Manuel Mota,Gil Vicente Futebol Clube,Moreirense Futebol Clube,04:03:00,domestic_cup,2369976_73427,73427.0,2013-10-30,Caleb Patterson-Sewell,POCP,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2459820.0,NL1,2014.0,27. Matchday,2015-03-13,3.0,1.0,5.0,4.0,Peter Bosz,John van den Brom,GelreDome,23381.0,Reinold Wiedemeijer,Stichting Betaald Voetbal Vitesse Arnhem,Alkmaar Zaanstreek,03:01:00,domestic_league,2459820_119169,119169.0,2015-03-13,Aron JÃ³hannsson,NL1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2460692.0,L1,2014.0,8. Matchday,2014-10-18,0.0,3.0,10.0,2.0,Tayfun Korkut,Lucien Favre,Heinz-von-Heiden-Arena,49000.0,Thorsten KinhÃ¶fer,Hannover 96,Borussia Verein fÃ¼r LeibesÃ¼bungen 1900 MÃ¶nchengladbach,00:03:00,domestic_league,2460692_31041,31041.0,2014-10-18,Fabian Johnson,L1,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2460737.0,L1,2014.0,13. Matchday,2014-11-29,3.0,1.0,4.0,17.0,Markus Weinzierl,Josef Zinnbauer,WWK ARENA,30321.0,Dr. Jochen Drees,FC Augsburg 1907,Hamburger SV,03:01:00,domestic_league,2460737_161204,161204.0,2014-11-29,Julian Green,L1,1.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2460816.0,L1,2014.0,22. Matchday,2015-02-22,2.0,1.0,2.0,17.0,Dieter Hecking,PÃ¡l DÃ¡rdai,Volkswagen Arena,27683.0,Guido Winkmann,Verein fÃ¼r LeibesÃ¼bungen Wolfsburg,Hertha BSC,02:01:00,domestic_league,2460816_124732,124732.0,2015-02-22,John Anthony Brooks,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2460817.0,L1,2014.0,22. Matchday,2015-02-21,3.0,1.0,11.0,9.0,Martin Schmidt,Thomas Schaaf,Mewa Arena,33237.0,Dr. Felix Brych,1. FuÃŸball- und Sportverein Mainz 05,Eintracht Frankfurt FuÃŸball AG,03:01:00,domestic_league,2460817_49723,49723.0,2015-02-21,Timothy Chandler,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2460832.0,L1,2014.0,23. Matchday,2015-02-28,2.0,1.0,8.0,15.0,Thomas Schaaf,Josef Zinnbauer,Commerzbank Arena,50500.0,Florian Meyer,Eintracht Frankfurt FuÃŸball AG,Hamburger SV,02:01:00,domestic_league,2460832_49723,49723.0,2015-02-28,Timothy Chandler,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2482243.0,FR1,2014.0,14. Matchday,2014-11-23,0.0,0.0,4.0,6.0,Michel Der Zakarian,Christophe Galtier,Stade de la Beaujoire,32324.0,Said Ennjimi,Football Club de Nantes,AS Saint-Ã‰tienne,00:00:00,domestic_league,2482243_111783,111783.0,2014-11-23,Alejandro Bedoya,FR1,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2486396.0,BE1,2014.0,4. Matchday,2014-08-17,2.0,2.0,4.0,1.0,Dennis van Wijk,Besnik Hasi,Het Kuipje,8030.0,Luc Wouters,Koninklijke Voetbal Club Westerlo,Royal Sporting Club Anderlecht,02:02:00,domestic_league,2486396_39475,39475.0,2014-08-17,Sacha Kljestan,BE1,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2486505.0,GB1,2014.0,4. Matchday,2014-09-13,0.0,2.0,19.0,11.0,Alan Irvine,Roberto MartÃ­nez,The Hawthorns,23567.0,Anthony Taylor,West Bromwich Albion,Everton Football Club,00:02:00,domestic_league,2486505_4267,4267.0,2014-09-13,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2486575.0,GB1,2014.0,11. Matchday,2014-11-08,0.0,0.0,4.0,16.0,Sam Allardyce,Paul Lambert,Boleyn Ground,34857.0,Jonathan Moss,West Ham United Football Club,Aston Villa Football Club,00:00:00,domestic_league,2486575_39471,39471.0,2014-11-08,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2577961.0,GB1,2015.0,7. Matchday,2015-09-26,3.0,2.0,9.0,18.0,Brendan Rodgers,Tim Sherwood,Anfield,44228.0,Jonathan Moss,Liverpool Football Club,Aston Villa Football Club,03:02:00,domestic_league,2577961_39471,39471.0,2015-09-26,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2577973.0,GB1,2015.0,6. Matchday,2015-09-19,0.0,0.0,7.0,6.0,Garry Monk,Roberto MartÃ­nez,Swansea.com Stadium,20805.0,Stuart Attwell,Swansea City,Everton Football Club,00:00:00,domestic_league,2577973_4267,4267.0,2015-09-19,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2578002.0,GB1,2015.0,10. Matchday,2015-10-24,2.0,1.0,2.0,11.0,ArsÃ¨ne Wenger,Roberto MartÃ­nez,Emirates Stadium,59985.0,Lee Mason,Arsenal Football Club,Everton Football Club,02:01:00,domestic_league,2578002_4267,4267.0,2015-10-24,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2578069.0,GB1,2015.0,16. Matchday,2015-12-12,1.0,1.0,18.0,10.0,Alex Neil,Roberto MartÃ­nez,Carrow Road,27027.0,Martin Atkinson,Norwich City,Everton Football Club,01:01:00,domestic_league,2578069_4267,4267.0,2015-12-12,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2578079.0,GB1,2015.0,17. Matchday,2015-12-19,1.0,1.0,17.0,20.0,Steve McClaren,RÃ©mi Garde,St James' Park,48234.0,Martin Atkinson,Newcastle United Football Club,Aston Villa Football Club,01:01:00,domestic_league,2578079_39471,39471.0,2015-12-19,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2578211.0,GB1,2015.0,33. Matchday,2016-04-10,0.0,2.0,18.0,1.0,Sam Allardyce,Claudio Ranieri,Stadium of Light,46531.0,Anthony Taylor,Sunderland AFC,Leicester City,00:02:00,domestic_league,2578211_255916,255916.0,2016-04-10,DeAndre Yedlin,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2578267.0,GB1,2015.0,38. Matchday,2016-05-15,3.0,0.0,11.0,19.0,David Unsworth,Alex Neil,Goodison Park,36691.0,Lee Mason,Everton Football Club,Norwich City,03:00:00,domestic_league,2578267_4267,4267.0,2016-05-15,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2581154.0,L1,2015.0,1. Matchday,2015-08-15,0.0,1.0,13.0,8.0,Martin Schmidt,Ralph HasenhÃ¼ttl,Mewa Arena,27152.0,Guido Winkmann,1. FuÃŸball- und Sportverein Mainz 05,FC Ingolstadt 04,00:01:00,domestic_league,2581154_58500,58500.0,2015-08-15,Alfredo Morales,L1,0.0,0.0,0.0,1.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2582001.0,L1,2015.0,34. Matchday,2016-05-14,1.0,0.0,13.0,16.0,Viktor Skrypnyk,Niko Kovac,Wohninvest-Weserstadion,42100.0,Deniz Aytekin,Sportverein Werder Bremen von 1899,Eintracht Frankfurt FuÃŸball AG,01:00:00,domestic_league,2582001_49723,49723.0,2016-05-14,Timothy Chandler,L1,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2586769.0,FR1,2015.0,1. Matchday,2015-08-08,1.0,0.0,7.0,18.0,Michel Der Zakarian,Jocelyn Gourvennec,Stade de la Beaujoire,27248.0,BenoÃ®t Bastien,Football Club de Nantes,EA Guingamp,01:00:00,domestic_league,2586769_111783,111783.0,2015-08-08,Alejandro Bedoya,FR1,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2586789.0,FR1,2015.0,3. Matchday,2015-08-22,1.0,0.0,4.0,7.0,Michel Der Zakarian,Olivier GuÃ©gan,Stade de la Beaujoire,23854.0,Hakim Ben El Hadj,Football Club de Nantes,Stade de Reims,01:00:00,domestic_league,2586789_111783,111783.0,2015-08-22,Alejandro Bedoya,FR1,0.0,0.0,0.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2586808.0,FR1,2015.0,5. Matchday,2015-09-13,0.0,2.0,10.0,2.0,Michel Der Zakarian,Philippe Montanier,Stade de la Beaujoire,27262.0,StÃ©phane Lannoy,Football Club de Nantes,Stade Rennais Football Club,00:02:00,domestic_league,2586808_111783,111783.0,2015-09-13,Alejandro Bedoya,FR1,0.0,0.0,0.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2586999.0,FR1,2015.0,13. Matchday,2015-11-07,1.0,2.0,14.0,18.0,Olivier GuÃ©gan,Thierry Laurey,Stade Auguste-Delaune,11393.0,Said Ennjimi,Stade de Reims,GFC Ajaccio,01:02:00,domestic_league,2586999_355369,355369.0,2015-11-07,Jordan,FR1,0.0,0.0,0.0,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2587004.0,FR1,2015.0,14. Matchday,2015-11-21,3.0,1.0,14.0,15.0,Rolland Courbis,Olivier GuÃ©gan,Stade de la Mosson,9455.0,StÃ©phane Jochem,Montpellier HÃ©rault Sport Club,Stade de Reims,03:01:00,domestic_league,2587004_355369,355369.0,2015-11-21,Jordan,FR1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2589073.0,NL1,2015.0,21. Matchday,2016-01-30,1.0,3.0,10.0,9.0,Ron Jans,Erwin van de Looi,MACÂ³PARK stadion,12225.0,Dennis Higler,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,FC Groningen,01:03:00,domestic_league,2589073_273570,273570.0,2016-01-30,Desevio Payne,NL1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2600638.0,FR1,2015.0,19. Matchday,2015-12-19,0.0,0.0,8.0,13.0,Sylvain Ripoll,Michel Der Zakarian,Stade du Moustoir,14711.0,Fredy Fautrel,Football Club Lorient-Bretagne Sud,Football Club de Nantes,00:00:00,domestic_league,2600638_111783,111783.0,2015-12-19,Alejandro Bedoya,FR1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2609692.0,FR1,2015.0,23. Matchday,2016-01-30,0.0,1.0,20.0,9.0,Claude Robin,Michel Der Zakarian,Stade de l'Aube,11592.0,Johan Hamel,ESTAC Troyes,Football Club de Nantes,00:01:00,domestic_league,2609692_111783,111783.0,2016-01-30,Alejandro Bedoya,FR1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2609743.0,FR1,2015.0,28. Matchday,2016-02-28,0.0,0.0,7.0,2.0,Michel Der Zakarian,Leonardo Jardim,Stade de la Beaujoire,25866.0,Mikael Lesage,Football Club de Nantes,Association sportive de Monaco Football Club,00:00:00,domestic_league,2609743_111783,111783.0,2016-02-28,Alejandro Bedoya,FR1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2609764.0,FR1,2015.0,30. Matchday,2016-03-13,2.0,0.0,6.0,12.0,Michel Der Zakarian,StÃ©phane Moulin,Stade de la Beaujoire,32611.0,BenoÃ®t Bastien,Football Club de Nantes,Angers SCO,02:00:00,domestic_league,2609764_111783,111783.0,2016-03-13,Alejandro Bedoya,FR1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2609825.0,FR1,2015.0,36. Matchday,2016-04-30,1.0,0.0,9.0,5.0,Michel Der Zakarian,Claude Puel,Stade de la Beaujoire,1442.0,Antony Gautier,Football Club de Nantes,Olympique Gymnaste Club Nice CÃ´te d'Azur,01:00:00,domestic_league,2609825_111783,111783.0,2016-04-30,Alejandro Bedoya,FR1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2609846.0,FR1,2015.0,38. Matchday,2016-05-14,4.0,0.0,1.0,14.0,Laurent Blanc,Michel Der Zakarian,Parc des Princes,47844.0,Lionel Jaffredo,Paris Saint-Germain Football Club,Football Club de Nantes,04:00:00,domestic_league,2609846_111783,111783.0,2016-05-14,Alejandro Bedoya,FR1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2646308.0,SC1,2015.0,31. Matchday,2016-03-19,0.0,3.0,3.0,4.0,Robbie Neilson,Tommy Wright,Tynecastle Park,16295.0,Craig Thomson,Heart of Midlothian Football Club,Saint Johnstone Football Club,00:03:00,domestic_league,2646308_131183,131183.0,2016-03-19,Perry Kitchen,SC1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2653907.0,BE1,2015.0,25. Matchday,2016-02-07,1.0,0.0,2.0,1.0,Michel Preud'homme,Hein Vanhaezebrouck,Jan-Breydel-Stadion,27695.0,SÃ©bastien DelferiÃ¨re,Club Brugge Koninklijke Voetbalvereniging,Koninklijke Atletiek Associatie Gent,01:00:00,domestic_league,2653907_209019,209019.0,2016-02-07,Kenny Saief,BE1,0.0,0.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2704228.0,L1,2016.0,2. Matchday,2016-09-10,1.0,0.0,12.0,9.0,Norbert Meier,Niko Kovac,Merck-Stadion am BÃ¶llenfalltor,17000.0,Felix Zwayer,Sportverein Darmstadt 1898 e. V.,Eintracht Frankfurt FuÃŸball AG,01:00:00,domestic_league,2704228_49723,49723.0,2016-09-10,Timothy Chandler,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2704430.0,L1,2016.0,14. Matchday,2016-12-10,1.0,0.0,16.0,13.0,Markus Gisdol,Dirk Schuster,Volksparkstadion,45793.0,Daniel Siebert,Hamburger SV,FC Augsburg 1907,01:00:00,domestic_league,2704430_72519,72519.0,2016-12-10,Bobby Wood,L1,0.0,0.0,0.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2704431.0,L1,2016.0,14. Matchday,2016-12-10,1.0,0.0,17.0,2.0,Maik Walpurgis,Ralph HasenhÃ¼ttl,Audi Sportpark,15200.0,Markus Schmidt,FC Ingolstadt 04,RasenBallsport Leipzig,01:00:00,domestic_league,2704431_58500,58500.0,2016-12-10,Alfredo Morales,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2704432.0,L1,2016.0,14. Matchday,2016-12-09,0.0,0.0,5.0,4.0,Niko Kovac,Julian Nagelsmann,Commerzbank Arena,47000.0,Christian Dingert,Eintracht Frankfurt FuÃŸball AG,TSG 1899 Hoffenheim FuÃŸball-Spielbetriebs GmbH,00:00:00,domestic_league,2704432_49723,49723.0,2016-12-09,Timothy Chandler,L1,1.0,1.0,0.0,0.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2704486.0,L1,2016.0,18. Matchday,2017-01-29,2.0,1.0,8.0,6.0,Christian Streich,PÃ¡l DÃ¡rdai,Dreisamstadion,23800.0,GÃ¼nter Perl,Sport-Club Freiburg,Hertha BSC,02:01:00,domestic_league,2704486_124732,124732.0,2017-01-29,John Anthony Brooks,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2704696.0,L1,2016.0,33. Matchday,2017-05-13,1.0,1.0,10.0,16.0,Markus Weinzierl,Markus Gisdol,Veltins-Arena,62271.0,Markus Schmidt,FC Schalke 04,Hamburger SV,01:01:00,domestic_league,2704696_72519,72519.0,2017-05-13,Bobby Wood,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
